-------------- ss msg proc stat------------
[msgid]   [sum_tv_tt(tk)][count_tt]   [avg_tv_tt]  [sum_tv_int(tk)][count_int]  [avg_tv_int]    [max_tv]	[max_tv_data]		[name]
  28731       12653619627     54756    231091.015           2460345         8    307543.125    23338515	0x00000001 0000703b	
  27505        4277002101     27327    156511.952           1452693         5    290538.600     1211943	0x00000000 00006b71	
  28714        6594203748    343271     19209.906           1888629        79     23906.696      607131	0x00000000 0000702a	
  27452       22300165491     88343    252427.080                 0         0          -nan     1117011	0xd43ef433 00006b3c	
  22075       45464353614   1141309     39835.271           4203474       106     39655.415      839622	0x557a67e0 0000563b	
  22073       25230375798    564747     44675.538           2417712        53     45617.208      817275	0x78134279 00005639	
    279       52399000656    557097     94057.230           5406822        55     98305.855      847584	0xcd3820b7 00000117	
   9904      311799105390  40481843      7702.196          45846498      5179      8852.384      823632	0xd42720ab 000026b0	
    288      101960008278   1065875     95658.504          14472798       138    104875.348      931263	0x00000000 00000120	
    980      557389800381  23138568     24089.209          61879248      2517     24584.524    50924862	0x01000015 000003d4	
    981      160688066202  21684497      7410.274          20659632      2377      8691.473     8129394	0x01000030 000003d5	
  28727       14859377256   1066570     13931.929           1893582       138     13721.609      831810	0xd42808e7 00007037	
  28728       22766070615   1066570     21345.126           3041181       138     22037.543      635184	0x00000000 00007038	
  27703      182303803485  15807564     11532.694          28003005      2399     11672.782     9757227	0xd442e884 00006c37	
  27704      137875503648  15819660      8715.453          23126007      2400      9635.836      809769	0x00000000 00006c38	
  27731      189886675056  22347147      8497.133          33784836      3806      8876.730      859428	0x00000000 00006c53	
  22181      600409300860  15784499     38037.907          92719899      2400     38633.291    16035909	0x00000000 00006c53	
  31101      160542964881  14568201     11020.095          24223644      2142     11308.891      792582	0x9091cae4 0000797d	
   1090       41237403735   1065799     38691.539           6399588       138     46373.826      679050	0x00000000 00000442	
   6130     1760380847757 385253379      4569.411         344287944     66211      5199.860     8817888	0xd441edd0 000017f2	
  22372      410038297473  15766036     26007.698          65464701      2405     27220.250      869343	0xd4f2af7d 00005764	
  27732      174108613593  22347145      7791.090          33966111      3807      8922.015      847725	0x00000000 00006c54	
  27615        3868895658   1065881      3629.763            573384       138      4154.957      667314	0xfffcdf36 00006bdf	
  27650     2740567667487   5338498    513359.313         558077439       997    559756.709    25881234	0x77f85f03 00006c02	
  18352       17307510063   1064893     16252.816           2121144       138     15370.609      835575	0xd42728eb 000047b0	
  26301      950225790576  24888356     38179.532         223691187      5703     39223.424     1855803	0x00000007 000066bd	
  25909       17992403004   1064888     16896.052           2341203       138     16965.239      617898	0xd427812a 00006535	
   3373      506762166243  25758003     19673.970          85212468      3802     22412.538      913098	0x00002724 00000d2d	
  31102      158981153043  14562898     10916.862          24349674      2147     11341.255      834984	0x266e93a1 0000797e	
  31105       67644339294  14560785      4645.652          10868346      2147      5062.108      743682	0xd4429c44 00007981	
  26415      259212629277  15726496     16482.542          40618980      2404     16896.414      885789	0xffffffff 0000672f	
   6133      114298104924  15768756      7248.391          19387311      2407      8054.554      798858	0x00000003 000017f5	
  18472      784145044602  41979495     18679.240         176937513      9897     17877.894     1155150	0xd4f7bf00 00004828	
  31203       41267906244   2829769     14583.489           5487066       378     14516.048      835035	0x7a86462a 000079e3	
  20900     1810287235332   6601545    274221.752         382024389      1398    273264.942    49915227	0x00000fa6 000051ac	
  18574        8647645809    630660     13712.057           1333479        92     14494.337      785115	0x00000000 0000488e	
  25501       29111768199   2297796     12669.431           7576866       576     13154.281      680016	0x00000000 0000639d	
  22403       92728258722   6545330     14167.087          20844477      1398     14910.212      676032	0x00000001 00005783	
  27301     2507523294282 236613260     10597.560         474881877     44670     10630.890     6463056	0x81082801 00006aa5	
  27719       89700650982   9157461      9795.363          13505454      1419      9517.586      818739	0x0000271a 00006c47	
  27503      321237755505  37370227      8596.088          42216486      4622      9133.814      876417	0x3d02010e 00006b6f	
   6121       78717813150   1167229     67439.905          12008079       173     69410.861     1043661	0x00000000 000017e9	
  28725      121855430235   6440880     18919.065          27694179      1394     19866.699      817209	0x00000000 00007035	
  18721       90371603874   6241548     14479.037          20202270      1357     14887.450     1033251	0x00000030 00004921	
  27720      106469844558   9157461     11626.568          16993746      1419     11975.860      787371	0x00000079 00006c48	
  27504      337171214127  37358881      9025.196          45772092      4621      9905.235      863868	0x00000002 00006b70	
  31204       32806052802   2829766     11593.203           4785504       378     12660.063      610167	0x00000000 000079e4	
  18564     1551032869215 107733000     14397.008         303690561     20316     14948.344    93183639	0x0000271a 00004884	
  27791       86605154049   6962070     12439.570          18413247      1494     12324.797      805815	0x00000001 00006c8f	
  27443       71907265995   6570576     10943.830          14635800      1332     10987.838     1241622	0x00000000 00006b33	
  27792      226999322184   6962069     32605.153          49397952      1495     33042.108     1297503	0x00000000 00006c90	
  27444      110066518971   6570576     16751.426          23299761      1332     17492.313      858369	0x00000000 00006b34	
  28715       97356905904   6557156     14847.429          20645943      1409     14652.905      825687	0xd4f66800 0000702b	
  28716      751428515703   6557156    114596.712         168652281      1407    119866.582      983880	0x0000000a 0000702c	
  27723       60659336379   4877326     12437.007          12695616      1046     12137.300      811869	0x00000003 00006c4b	
  27724       65811111441   4877326     13493.277          14078457      1046     13459.328      784629	0x00000019 00006c4c	
   9489        9006875124   6890645      1307.116           1968318      1429      1377.409      581100	0xd43f5968 00002511	
  14951      189948130743   8580213     22137.927          39558939      1736     22787.407      839895	0x00000000 00003a67	
  14953      378154303428   4748172     79642.082          73987080       878     84267.745    28383105	0x00000000 00003a69	
  10501       19943104602    550358     36236.603           3137055        80     39213.188      632751	0xd5145cf1 00002905	
   4182      598627085115  40729662     14697.571          57303249      3085     18574.797      835962	0x00002982 00001056	
  27781        1082123580     81754     13236.338            246741        15     16449.400      135891	0xd42f40f3 00006c85	
  27782        1920463989     81754     23490.765            321093        15     21406.200      564132	0x00000000 00006c86	
  27783         961010793     75467     12734.186            171705        15     11447.000      590526	0xd42b5a3f 00006c87	
  20001      262829118756  11842268     22194.154          45462270      1892     24028.684    18927222	0x1a02010e 00004e21	
  20013      187543144791  15765804     11895.565          30862074      2421     12747.656      885510	0xd44350ec 00004e2d	
  20012      112708519245    195201    577397.243           5026740         9    558526.667    21326628	0xd42c029c 00004e2c	
  27721       33618137340   2874899     11693.676           5382384       469     11476.299      650121	0x00000000 00006c49	
  27722       48169074573   2874899     16755.049           8242521       469     17574.672      804504	0x00000000 00006c4a	
    243        1720386489     32466     52990.405                 0         0          -nan    33101373	0x00000000 000000f3	
    183         533817384    125626      4249.259                 0         0          -nan      607572	0xbe31ae09 000000b7	
  27416        1185524163     92887     12763.079             29253         3      9751.000      570753	0x3eaa3701 00006b18	
  27418       20923641999     75493    277160.028            570267         2    285133.500     1003116	0xd43ec3e4 00006b1a	
  27419       19355920059     75126    257646.089            503541         2    251770.500     1096941	0xd43f09cc 00006b1b	
     20      217115085807    978419    221903.996          60589857       155    390902.303    13996899	0x41b89b31 00000014	
   3050    60288144950487  21682395   2780511.330       13536675048      3960   3418352.285    37283406	0x9b53381b 00000bea	
   1110     2708372934759   1047151   2586420.616         623287236       167   3732258.898   234454443	0x00000000 00000456	
   9955         556341978      6659     83547.376             71802         1     71802.000      679134	0x3fee26f3 000026e3	
    293        2184021696    120946     18057.825            455628        24     18984.500      591585	0x736fd0a3 00000125	
    295         194630040     79093      2460.775             19797         8      2474.625       99507	0xffffffff 00000127	
  14969        3299846436    247529     13331.151            442557        31     14276.032      727428	0xb6f52cc1 00003a79	
   4183      216382611117  28985501      7465.202          27634248      2569     10756.811      819060	0x000009dd 00001057	
  14970        3136914699    247468     12676.042            425451        31     13724.226      592539	0x00000000 00003a7a	
  31201        1312705524    130851     10032.063            229443        18     12746.833      560898	0x8fea0119 000079e1	
  31202        1422792882    130850     10873.465            205887        18     11438.167      555210	0x00000000 000079e2	
  25911         605413374    138671      4365.825            105852        22      4811.455       93345	0x00000001 00006537	
    282         136313769      1170    116507.495                 0         0          -nan      263406	0x6e392c0e 0000011a	
    982      351671272119  20750111     16947.922          38521551      1865     20654.987    46948179	0x0101b161 000003d6	
   1071       34568122404     71249    485173.440           2457564         5    491512.800     1528290	0x1fa46850 0000042f	
  27613       72824064975   4272617     17044.370          14854629       859     17292.932    25272231	0xd426dda0 00006bdd	
  27302     1168710415104  99646130     11728.608         297572226     26511     11224.481     5567916	0x00000001 00006aa6	
   4871        3084490869    454188      6791.221            670434        91      7367.407      547581	0x00000019 00001307	
   4673       35349872787   1171834     30166.280           4585959       150     30573.060      803574	0x00000001 00001241	RLT_MSGID_SHOW_PLAYER_INFOMATION_REQ
   4681        1562009955     59778     26130.181            255975        10     25597.500      585117	0xe89094e5 00001249	
